,tweet_tweet_id,tweet_text,tweet_author_id,tweet_created_at,tweet_lang,tweet_conversation_id,tweet_possibly_sensitive,tweet_in_reply_to_user_id,tweet_source,tweet_retweet_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_withheld,tweet_coordinate,tweet_place_id,place_place_full_name,place_id,place_country,place_country_code,place_place_name,place_place_type,key
422,1340170805221744641,"Breaking News:
.
Cross River State Commissioner of Police, Abdulkadir Jimoh, has died of COVID-19. 

It was gathered that Jimoh died at the University of Calabar Teaching Hospital Isolation centre. @ Sapele, Nigeria https://t.co/C8Qhj1SgrU",227419597,2020-12-19T05:43:13.000Z,en,1340170805221744641,False,,Instagram,0,0,0,0,,"{'type': 'Point', 'coordinates': [5.6667, 5.9]}",016074b72eb16749,"Sapele, Nigeria",016074b72eb16749,Nigeria,NG,Sapele,city,2021-01-09 17:18:14.893514
423,1340170805171400705,RT @GabsOnClarkSt: We live in a system where the people who most fervently denied and downplayed the coronavirus are among the first to rec…,1057405525422497793,2020-12-19T05:43:13.000Z,en,1340170805171400705,False,,Twitter for iPhone,36456,0,0,0,,,,,,,,,,2021-01-09 17:18:14.893514
